"","id","model","model.params","series","mddl","mda"
"1",1,"Wavelets","d2,1,periodic","data/series_01.RData","3.99606188839433","0.0259060350026767"
"2",2,"Wavelets","d4,1,periodic","data/series_01.RData","0.870486757051235","0.00130747781078397"
"3",3,"Wavelets","d6,1,periodic","data/series_01.RData","0","0.000121232514127531"
"4",4,"Wavelets","d8,1,periodic","data/series_01.RData","0","6.4125358474841e-05"
"5",5,"Wavelets","d10,1,periodic","data/series_01.RData","0","6.43407979922946e-05"
"6",6,"Wavelets","d12,1,periodic","data/series_01.RData","0","5.59108783240228e-05"
"7",7,"Wavelets","d14,1,periodic","data/series_01.RData","0","5.10626830866806e-05"
"8",8,"Wavelets","d16,1,periodic","data/series_01.RData","0","5.11527640424335e-05"
"9",9,"Wavelets","d18,1,periodic","data/series_01.RData","0","5.59878102797772e-05"
"10",10,"Wavelets","d20,1,periodic","data/series_01.RData","0","6.42034378986992e-05"
"11",11,"Wavelets","la8,1,periodic","data/series_01.RData","0","4.46674169599198e-05"
"12",12,"Wavelets","la10,1,periodic","data/series_01.RData","0","4.12106817718574e-05"
"13",13,"Wavelets","la12,1,periodic","data/series_01.RData","0","4.78143913529383e-05"
"14",14,"Wavelets","la14,1,periodic","data/series_01.RData","0","6.31078680173195e-05"
"15",15,"Wavelets","la16,1,periodic","data/series_01.RData","0","5.07515867553392e-05"
"16",16,"Wavelets","la18,1,periodic","data/series_01.RData","0","4.88823173414382e-05"
"17",17,"Wavelets","la20,1,periodic","data/series_01.RData","0","5.33793217160089e-05"
"18",18,"Wavelets","bl14,1,periodic","data/series_01.RData","0","6.20694633607626e-05"
"19",19,"Wavelets","bl18,1,periodic","data/series_01.RData","0","6.6836650336228e-05"
"20",20,"Wavelets","bl20,1,periodic","data/series_01.RData","0","5.30956552946959e-05"
"21",21,"Wavelets","c6,1,periodic","data/series_01.RData","0.870486757051235","0.00125350947904251"
"22",22,"Wavelets","c12,1,periodic","data/series_01.RData","0","5.29884830148743e-05"
